RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
58,valorant_americas,English,esports,Valorant,,5.9,2796,43529,1.0,1614,752000,11700000,1,1.5,Saturday,Sunday
63,tsm_imperialhal,English,personality,Apex Legends,Fortnite,6.3,1281,44445,1.0,10637,2029999,70500000,36,4.9,Thursday,Sunday
67,angryginge13,English,personality,Grand Theft Auto V,FIFA 23,4.8,1029,3480,1.7,4668,935000,316000,80,5.1,Friday,Sunday
68,lvndmark,English,personality,Escape from Tarkov,Call of Duty: Warzone,9.1,8000,39761,1.2,14685,1260000,62700000,62,6.8,Monday,Friday
86,recrent,Russian,personality,PUBG: BATTLEGROUNDS,Call of Duty: Warzone,7.7,5270,3073,1.6,16864,1270000,74300000,157,6.3,Tuesday,Wednesday
89,moonmoon,English,personality,Overwatch,Grand Theft Auto V,6.1,3690,34598,1.3,15957,1190000,99500000,561,6.7,Tuesday,Friday
90,thebausffs,English,personality,League of Legends,Overwatch 2,5.5,9430,16707,1.0,7317,1250000,22100000,14,4.4,Monday,Sunday
91,fissure_cs_eng,English,personality,Counter-Strike,,6.0,2560,18637,1.0,6078,147000,14200000,1,1.5,Tuesday,Tuesday
93,handofblood,German,personality,PUBG: BATTLEGROUNDS,Fortnite,4.8,2405,50115,1.7,1944,1120000,22500000,155,1.0,Wednesday,Saturday
95,tck10,Portuguese,personality,VALORANT,Virtual Casino,7.8,4450,2648,1.1,8245,481000,2860000,29,4.8,Wednesday,Sunday
96,esl_dota2,English,esports,Dota 2,,20.3,6060,54843,1.0,34047,802000,93100000,1,4.4,Friday,Sunday
99,gorgc,English,personality,Dota 2,PUBG: BATTLEGROUNDS,6.6,3120,3621,1.1,15475,720000,83400000,88,6.2,Monday,Monday
106,silvername,Russian,personality,Hearthstone,Dota 2,6.2,3430,694,1.2,12717,862000,159000000,115,5.3,Thursday,Wednesday
107,gotaga,French,personality,Fortnite,Teamfight Tactics,6.9,1893,83426,1.8,14351,4330000,185000000,187,5.3,Monday,Monday
108,tolkin,German,personality,League of Legends,Teamfight Tactics,6.4,1580,6062,1.3,10965,309000,11800000,105,5.4,Thursday,Wednesday
111,valorant_pacific,English,esports,Valorant,,6.4,177,3556,1.0,1121,315000,634000,1,1.2,Sunday,Saturday
125,eslcsb,English,esports,Counter-Strike,,6.5,1084,59976,1.0,6053,1240000,67000000,1,2.4,Wednesday,Sunday
126,valorant_emea,English,esports,Valorant,,7.8,1591,10674,1.0,2297,576000,3860000,1,1.6,Saturday,Wednesday
